,Skills,Link
Robô da roleta BET365 - grupo no Telegram,"NodeJS, Python, Selenium",https://www.99freelas.com.br//project/robo-da-roleta-bet365-grupo-no-telegram-342289?fs=t
Rastreio de E-mails (Número de Pedido de Compra) ,"Google APIs, Google Sheets, Javascript, Microsoft Outlook, Python",https://www.99freelas.com.br//project/rastreio-de-e-mails-numero-de-pedido-de-compra-342167?fs=t
Conversor de JSON para CWR,"NodeJS, PHP, Python",https://www.99freelas.com.br//project/conversor-de-json-para-cwr-342142?fs=t
Arquivos/Fotos no Google Drive através do Google Planilhas,"Google APIs, Google Sheets, Javascript, Python",https://www.99freelas.com.br//project/arquivos-fotos-no-google-drive-atraves-do-google-planilhas-342076?fs=t
"Python - Ajuste Fino, Troca Senha, Cadastro  personalizado",Sem pré-requisitos,https://www.99freelas.com.br//project/python-ajuste-fino-troca-senha-cadastro-personalizado-342029?fs=t
Repasse de mensagens telegram,Python,https://www.99freelas.com.br//project/repasse-de-mensagens-telegram-342028?fs=t
Ajustar módulo de ERP já desenvolvido,"Python, React",https://www.99freelas.com.br//project/ajustar-modulo-de-erp-ja-desenvolvido-341908?fs=t
Sala de sinais para aviator,Python,https://www.99freelas.com.br//project/sala-de-sinais-para-aviator-342005?fs=t
Automação + Webscraping em site,"NodeJS, PHP, Python, Selenium, Selenium Webdriver",https://www.99freelas.com.br//project/automacao-webscraping-em-site-341871?fs=t
Manutenção em Bot Sinais Blaze em Python,Python,https://www.99freelas.com.br//project/manutencao-em-bot-sinais-blaze-em-python-341724?fs=t
Robô Automático Blaze Double ,"Automação de processos robóticos, Javascript, Python, Servidores",https://www.99freelas.com.br//project/robo-automatico-blaze-double-341670?fs=t
Bot para blaze que faça apostas automáticas e exiba tudo no Telegram,"Programação, Python",https://www.99freelas.com.br//project/bot-para-blaze-que-faca-apostas-automaticas-e-exiba-tudo-no-telegram-341646?fs=t
API na Betano para cassinos ao vivo e aviator,Python,https://www.99freelas.com.br//project/api-na-betano-para-cassinos-ao-vivo-e-aviator-341641?fs=t
Revisar um bot em python                                              ,Sem pré-requisitos,https://www.99freelas.com.br//project/revisar-um-bot-em-python-341623?fs=t
Criar um bot para Telegram - Blaze,"Programação, Python",https://www.99freelas.com.br//project/criar-um-bot-para-telegram-blaze-341531?fs=t
Bot para Telegram - Cassino Roleta,"Chatbot, Python",https://www.99freelas.com.br//project/bot-para-telegram-cassino-roleta-341528?fs=t
Integração de ERP médico com planos de saúde,"Javascript, Python",https://www.99freelas.com.br//project/integracao-de-erp-medico-com-planos-de-saude-341413?fs=t
Robô / API IQ Option / Quotex para copy trading,"Programação, Programação C#, Programação de Banco de Dados, Programação Orientada a Objetos, Python",https://www.99freelas.com.br//project/robo-api-iq-option-quotex-para-copy-trading-341341?fs=t
Robô automatizado blaze na nuvem / desktop,"Construção de Website, Desenvolvimento Web, PHP, Python",https://www.99freelas.com.br//project/robo-automatizado-blaze-na-nuvem-desktop-341322?fs=t
Redes Neurais - Python                                                     ,"Python, Redes Neurais",https://www.99freelas.com.br//project/redes-neurais-python-341221?fs=t
Site de análise de resultados - futebol virtual,"CSS, HTML5, Javascript, JSON, Python",https://www.99freelas.com.br//project/site-de-analise-de-resultados-futebol-virtual-341156?fs=t
Robô automático para roleta - Bet365 ,"Javascript, MySQL, PHP, Python",https://www.99freelas.com.br//project/robo-automatico-para-roleta-bet365-341149?fs=t
Programador Python / Odoo,Python,https://www.99freelas.com.br//project/programador-python-odoo-341062?fs=t
Bot Telegram Cassino Roleta,"Chatbot, Python",https://www.99freelas.com.br//project/bot-telegram-cassino-roleta-341027?fs=t
Loja online com possibilidades de mudar os títulos e as imagens ,"CSS3, HTML5, Javascript, MySQL, Python",https://www.99freelas.com.br//project/loja-online-com-possibilidades-de-mudar-os-titulos-e-as-imagens-340993?fs=t
Programador com experiência em python,Sem pré-requisitos,https://www.99freelas.com.br//project/programador-com-experiencia-em-python-340841?fs=t
Chatbot Telegram para Braze,"Chatbot, Desenvolvimento de API, Javascript, Python, Web API",https://www.99freelas.com.br//project/chatbot-telegram-para-braze-340765?fs=t
Criar bot encaminhador Telegram,"Programação, Python",https://www.99freelas.com.br//project/criar-bot-encaminhador-telegram-340674?fs=t
Buscador web urls           ,Python,https://www.99freelas.com.br//project/buscador-web-urls-340668?fs=t
Robô para automatizar entradas enviadas do Telegram para a bet365,Python,https://www.99freelas.com.br//project/robo-para-automatizar-entradas-enviadas-do-telegram-para-a-bet365-340532?fs=t
Robô de arbitragem em criptomoedas,"Java, Python",https://www.99freelas.com.br//project/robo-de-arbitragem-em-criptomoedas-340334?fs=t
Desenvolvedor Django para projeto em andamento,"Bootstrap, Django, Flask, Python",https://www.99freelas.com.br//project/desenvolvedor-django-para-projeto-em-andamento-340140?fs=t
Webscrap de ULRs (via Xpath do elemento),Web Scraping,https://www.99freelas.com.br//project/webscrap-de-ulrs-via-xpath-do-elemento-340099?fs=t
Criação de sistema de aplicativo para máquina de estacionamento,"PDV, Python",https://www.99freelas.com.br//project/criacao-de-sistema-de-aplicativo-para-maquina-de-estacionamento-339752?fs=t
Decompilar um programa para fazer um igual (python),Python,https://www.99freelas.com.br//project/decompilar-um-programa-para-fazer-um-igual-python-339723?fs=t
Instalação do Whaticket customizado,"Chatbot, CRM, NodeJS, Python, Webservice",https://www.99freelas.com.br//project/instalacao-do-whaticket-customizado-339513?fs=t
Normalizar arquivo TXT para o formato XSL via Pandas (Python),"Expressão Regular (Regex), Python",https://www.99freelas.com.br//project/normalizar-arquivo-txt-para-o-formato-xsl-via-pandas-python-339493?fs=t
Robô replicador de entradas na Bet365,"Arquitetura de Dados, Python",https://www.99freelas.com.br//project/robo-replicador-de-entradas-na-bet365-339404?fs=t
Bot para Telegram com envio de sinais,Sem pré-requisitos,https://www.99freelas.com.br//project/bot-para-telegram-com-envio-de-sinais-339036?fs=t
Trading bot para executar ordens automaticamente,"Documentação de API, NodeJS, Python",https://www.99freelas.com.br//project/trading-bot-para-executar-ordens-automaticamente-338846?fs=t
Bot Cassino - Betano: Identificando a repetição de cor por 5x,"HTML5, Java, Python, Web Crawling, Web Scraping",https://www.99freelas.com.br//project/bot-cassino-betano-identificando-a-repeticao-de-cor-por-5x-338843?fs=t
Robô para Roleta Manual da Bet365,"Javascript, Python",https://www.99freelas.com.br//project/robo-para-roleta-manual-da-bet365-338635?fs=t
Integrar código Python a consultas programadas (cloud functions/cloud run) ,Sem pré-requisitos,https://www.99freelas.com.br//project/integrar-codigo-python-a-consultas-programadas-cloud-functions-cloud-run-338464?fs=t
Monitoramento de resultado e automação de apostas roleta bet 365,"Banco De Dados, Desenvolvimento de API, Programação C, Programação C++, Python",https://www.99freelas.com.br//project/monitoramento-de-resultado-e-automacao-de-apostas-roleta-bet-365-338440?fs=t
Script para busca de informações                                       ,"Inteligência Artificial, Javascript, Python",https://www.99freelas.com.br//project/script-para-busca-de-informacoes-338427?fs=t
Api com django rest de login                                           ,"Django, Python",https://www.99freelas.com.br//project/api-com-django-rest-de-login-338397?fs=t
Plataforma para Análise de Futebol Virtual - Bet365,"CSS, HTML, Javascript, Python",https://www.99freelas.com.br//project/plataforma-para-analise-de-futebol-virtual-bet365-338339?fs=t
Robô de apostas no cassino,"Javascript, Python",https://www.99freelas.com.br//project/robo-de-apostas-no-cassino-338309?fs=t
Programador Python com experiência em previsão de venda,"Análise Estatística, Inteligência Artificial, Modelagem Estatística, Python",https://www.99freelas.com.br//project/programador-python-com-experiencia-em-previsao-de-venda-338191?fs=t
Comparador de imagens em Python ,"Python, Pytorch",https://www.99freelas.com.br//project/comparador-de-imagens-em-python-338146?fs=t
Bot para speedway e futebol virtual,Python,https://www.99freelas.com.br//project/bot-para-speedway-e-futebol-virtual-338076?fs=t
Selecionar vários arquivos de uma pasta a partir de uma listagem de nomes,"Programação, Programação C, Programação C#, Programação C++, Python",https://www.99freelas.com.br//project/selecionar-varios-arquivos-de-uma-pasta-a-partir-de-uma-listagem-de-nomes-337956?fs=t
Criação de automação para operar criptomoedas pela Binance ,"Programação, Python",https://www.99freelas.com.br//project/criacao-de-automacao-para-operar-criptomoedas-pela-binance-337493?fs=t
Bot de sinais Double Blaze - Telegram,Python,https://www.99freelas.com.br//project/bot-de-sinais-double-blaze-telegram-337034?fs=t
Robô que lê grupo do telegram e faz entrada na roleta bet365,Python,https://www.99freelas.com.br//project/robo-que-le-grupo-do-telegram-e-faz-entrada-na-roleta-bet365-336842?fs=t
Aulas para aprender a manipular planilhas do googledocs via interface grafi,Sem pré-requisitos,https://www.99freelas.com.br//project/aulas-para-aprender-a-manipular-planilhas-do-googledocs-via-interface-grafi-336821?fs=t
Manipular app web com spreadsheet,Sem pré-requisitos,https://www.99freelas.com.br//project/manipular-app-web-com-spreadsheet-336674?fs=t
Bot para Telegram - Futebol Virtual Bet365,"Arquitetura Java, Javascript, Python",https://www.99freelas.com.br//project/bot-para-telegram-futebol-virtual-bet365-336645?fs=t
Robô para Telegram API - Blaze Double,"Java, Python",https://www.99freelas.com.br//project/robo-para-telegram-api-blaze-double-336438?fs=t
Robô automático roleta bet,"Javascript, MySQL, PHP, Python",https://www.99freelas.com.br//project/robo-automatico-roleta-bet-336285?fs=t
Aplicativo para bloqueio de compra e venda em plataforma de investimento,"MySQL, Python, Selenium",https://www.99freelas.com.br//project/aplicativo-para-bloqueio-de-compra-e-venda-em-plataforma-de-investimento-336208?fs=t
Desenvolvimento de aplicativo para gestão de compras e estoque,"AJAX, Django, Javascript, Python",https://www.99freelas.com.br//project/desenvolvimento-de-aplicativo-para-gestao-de-compras-e-estoque-336114?fs=t
Código para MT4 / buscador ,Python,https://www.99freelas.com.br//project/codigo-para-mt4-buscador-335802?fs=t
Coletar dados BET365 - Futebol Virtual,Sem pré-requisitos,https://www.99freelas.com.br//project/coletar-dados-bet365-futebol-virtual-335736?fs=t
Robô configurável da Blaze,"HTTP, Javascript, Python",https://www.99freelas.com.br//project/robo-configuravel-da-blaze-335687?fs=t
Python para script mercado financeiro,Python,https://www.99freelas.com.br//project/python-para-script-mercado-financeiro-335593?fs=t
Criação de script e painel para gerenciamento de banco de dados,".NET para Web, Administração de Banco de Dados, AngularJS, NodeJS, PHP",https://www.99freelas.com.br//project/criacao-de-script-e-painel-para-gerenciamento-de-banco-de-dados-335486?fs=t
Crawler web scraper e chatbot no Telegram,"ES8 Javascript, Framework JavaScript, NodeJS, Python",https://www.99freelas.com.br//project/crawler-web-scraper-e-chatbot-no-telegram-335392?fs=t
Robô financeiro (IQ e QUOTEX) integrado ao Telegram,Python,https://www.99freelas.com.br//project/robo-financeiro-iq-e-quotex-integrado-ao-telegram-335321?fs=t
Engenharia Reversa de um software ,Python,https://www.99freelas.com.br//project/engenharia-reversa-de-um-software-335047?fs=t
Desenvolvimento e Publicação de Aplicativo Web (simples),".NET para Web, Bubble, Django, Flask, Python",https://www.99freelas.com.br//project/desenvolvimento-e-publicacao-de-aplicativo-web-simples-334845?fs=t
Manutenção de bot de apostas para Telegram,Sem pré-requisitos,https://www.99freelas.com.br//project/manutencao-de-bot-de-apostas-para-telegram-334667?fs=t
Bot Follow/unfollow no instagram,"Instagram, Instagram API, Programação, Python",https://www.99freelas.com.br//project/bot-follow-unfollow-no-instagram-334530?fs=t
Bot agendamento de stories,"Instagram, Instagram API, Programação, Python, VPS",https://www.99freelas.com.br//project/bot-agendamento-de-stories-334452?fs=t
Enviar mensagem pelo bot telegram e editar a própria mensagem,Python,https://www.99freelas.com.br//project/enviar-mensagem-pelo-bot-telegram-e-editar-a-propria-mensagem-334411?fs=t
Consultoria Python asyncio,Python,https://www.99freelas.com.br//project/consultoria-python-asyncio-334307?fs=t
Executar um script em Python para Instagram,Sem pré-requisitos,https://www.99freelas.com.br//project/executar-um-script-em-python-para-instagram-334245?fs=t
Desenvolvedor webbased plataforma de estratégias de apostas,Sem pré-requisitos,https://www.99freelas.com.br//project/desenvolvedor-webbased-plataforma-de-estrategias-de-apostas-334126?fs=t
Bot - Blaze e Crash Web + Python,"Python, Web API",https://www.99freelas.com.br//project/bot-blaze-e-crash-web-python-334015?fs=t
Programa que pega imagens fixa e que se movem e realiza condições ,"Javascript, Python",https://www.99freelas.com.br//project/programa-que-pega-imagens-fixa-e-que-se-movem-e-realiza-condicoes-333482?fs=t
